directory_category,post_content,location_address__street,location_address__city,location_address__address,location_address__lat,location_address__term_id,location_address__lng,location_address__zip,post_title,field_phone,field_social_accounts__facebook,field_website
Resto et Snack,Description à venir,Rue Sainte Monégonde 44,salles,"Rue Sainte Monégonde 44, 6460 SALLES",50.055611,salles,4.245141,6460.0,Le Snack Saint Antoine,060/21 93 19,https://www.facebook.com/snacksaintantoine,A venir
Commerce et Service,Description à venir,rue de la station 171,forges,"rue de la station 171, 6464 Forges",50.02216,forges,4.325282,6464.0,Le Temps D'Un Cadeau,0489 91 47 47,https://www.facebook.com/letempsduncadeau,https://letempsduncadeau.ccvshop.be/
Commerce et Service,Description à venir,Rue de Bourlers 32a,chimay,"Rue de Bourlers 32a, 6460 Chimay, Belgique",50.045721,chimay,4.3231,6460.0,Le Tournesol-Un Choix De Vie,060/21 39 18,A venir,A venir
Resto et Snack,Description à venir,"Rue Joaris, 27",lompret,"Rue Joaris, 27, 6463 LOMPRET",50.063838,lompret,4.378054,6463.0,L'Eau Blanche,060/21 18 64,https://www.facebook.com/leaublanchelompret,A venir
Commerce et Service,Description à venir,Rue de Bourlers 1a,chimay,"Rue de Bourlers 1a, 6460 CHIMAY",50.047945,chimay,4.321365,6460.0,Leonidas,060/21 23 90,A venir,A venir
Banque et Finance,Description à venir,"Chée de Couvin, 37",chimay,"Chée de Couvin, 37, 6460 CHIMAY",50.047067,chimay,4.321428,6460.0,Les Ap Assurances,060/21 10 30,A venir,A venir
Resto et Snack,Description à venir,Rue Roger de Keyser 101,forges,"Rue Roger de Keyser 101, 6464 Forges, Belgique",50.013655,forges,4.319644,6464.0,Les Etangs Gourmands,060/21 26 60 - 0479/33 81 83,https://www.facebook.com/LesEtangsGourmands,A venir
textile,Description à venir,place froissart 32a,chimay,"place froissart 32a, 6460 Chimay",50.047036,chimay,4.313293,6460.0,Les Petits Branchés,0477 67 76 27,A venir,A venir
Sports et Loisirs,Description à venir,Chaussée de Trélon 24,chimay,"Chaussée de Trélon 24, 6460 CHIMAY",50.052559,chimay,4.298644,6460.0,Les Petits Lutins,0471/18 78 91,A venir,A venir
Commerce et Service,Description à venir,"Chaussée de Trélon,20",chimay,"Chaussée de Trélon,20, 6460 CHIMAY",50.052175,chimay,4.300949,6460.0,Les Riches Paturages,060/51 13 15,A venir,A venir
Sports et Loisirs,Description à venir,Rue des Usines 1b,bourlers,"Rue des Usines 1b, 6464 Bourlers",50.024738,bourlers,4.344918,6464.0,L'Évasion,0478/292652,A venir,A venir
Commerce et Service,Description à venir,Ch. de Couvin,chimay,"Ch. de Couvin, 6460 CHIMAY",50.044804,chimay,4.330861,6460.0,Lidl,0,A venir,A venir
textile,Description à venir,"Rue des Ormeaux, 8",chimay,"Rue des Ormeaux, 8, 6460 CHIMAY",50.047644,chimay,4.315569,6460.0,Lingerie Dominique,060/21 32 54,https://www.facebook.com/pages/category/Women-s-Clothing-Store/Lingerie-Dominique-534104916750679/,A venir
Commerce et Service,Description à venir,Pont du Welz 7,chimay,"Pont du Welz 7, 6460 CHIMAY",50.048621,chimay,4.315336,6460.0,Lolipop,060/45 59 33,https://www.facebook.com/lolipopchimay,A venir
Commerce et Service,"Fabrication artisanale de pâtisserie fine, maCarons, viennoiseries, glaces, chocolats, biscuiterie et confiseries.
Dépôt de boulangerie (Pains et baguettes).
Cours de pâtisserie.",rue de l'athénée 32,chimay,"rue de l'athénée 32, 6460 Chimay",50.048219,chimay,4.314939,6460.0,Macaro'N Co,0,https://www.facebook.com/macaroandco,A venir
Commerce et Service,Description à venir,"Chée de Mons, 17",chimay,"Chée de Mons, 17, 6460 CHIMAY",50.051241,chimay,4.309154,6460.0,Match S.A.,060/21 02 80,A venir,A venir
Resto et Snack,Description à venir,"Chaussée de Couvin, 118",chimay,"Chaussée de Couvin, 118, 6460 CHIMAY",50.044493,chimay,4.331068,6460.0,Meet Wok,060/21 95 88,https://www.facebook.com/meetwokchimay,A venir
Commerce et Service,Description à venir,Rue du Faubourg 12,chimay,"Rue du Faubourg 12, 6460 CHIMAY",50.047349,chimay,4.312866,6460.0,Ml Voyages,060/21 42 69,https://www.facebook.com/mlvoyages,A venir
